Order ID,Order Date,Customer,Product,Category,Region,Quantity,Unit Price,Discount,Sales,Payment Method,Month
ORD1001,1/01/2025,Customer 055,Tablet,Electronics,East,7,21080,0.05,140182,UPI,January
ORD1002,2/01/2025,Customer 048,Webcam,Accessories,South,5,4630,0.05,21992.5,UPI,January
ORD1003,3/01/2025,Customer 007,Monitor,Electronics,East,5,14540,0.1,65430,UPI,January
ORD1004,5/01/2025,Customer 074,Keyboard,Accessories,South,7,1720,0.05,11438,Credit Card,January
ORD1005,6/01/2025,Customer 007,Smartphone,Electronics,South,1,29410,0.05,27939.5,Cash,January
ORD1006,8/01/2025,Customer 033,Smartphone,Electronics,North,3,30160,0.1,81432,Credit Card,January
ORD1007,9/01/2025,Customer 023,Laptop,Electronics,East,2,64960,0.05,123424,Cash,January
ORD1008,11/01/2025,Customer 019,Smartwatch,Wearables,East,1,6880,0.05,6536,Cash,January
ORD1009,12/01/2025,Customer 019,Mouse,Accessories,Central,2,870,0.05,1653,Debit Card,January
ORD1010,14/01/2025,Customer 036,Monitor,Electronics,Central,7,13100,0.05,87115,Debit Card,January
ORD1011,15/01/2025,Customer 029,Laptop,Electronics,North,6,60360,0,362160,Cash,January
ORD1012,17/01/2025,Customer 060,Webcam,Accessories,North,2,4830,0.15,8211,Cash,January
ORD1013,18/01/2025,Customer 002,Printer,Office Equipment,West,3,12670,0.1,34209,Credit Card,January
ORD1014,20/01/2025,Customer 001,Smartphone,Electronics,Central,6,29300,0,175800,Credit Card,January
ORD1015,21/01/2025,Customer 047,Smartphone,Electronics,South,2,32190,0.05,61161,Debit Card,January
ORD1016,22/01/2025,Customer 069,Smartphone,Electronics,East,7,30850,0,215950,UPI,January
ORD1017,24/01/2025,Customer 020,Tablet,Electronics,North,6,21940,0.15,111894,Cash,January
ORD1018,25/01/2025,Customer 011,Keyboard,Accessories,East,7,1800,0,12600,Credit Card,January
ORD1019,27/01/2025,Customer 002,Headphones,Accessories,East,2,3270,0,6540,Debit Card,January
ORD1020,28/01/2025,Customer 067,Tablet,Electronics,West,7,20560,0.05,136724,Credit Card,January
ORD1021,30/01/2025,Customer 012,Mouse,Accessories,Central,3,910,0.05,2593.5,Cash,January
ORD1022,31/01/2025,Customer 020,Smartphone,Electronics,North,2,30260,0.15,51442,Cash,January
ORD1023,2/02/2025,Customer 005,Tablet,Electronics,East,2,20990,0,41980,Net Banking,February
ORD1024,3/02/2025,Customer 037,Tablet,Electronics,North,2,23570,0.1,42426,UPI,February
ORD1025,5/02/2025,Customer 038,Headphones,Accessories,South,1,3660,0,3660,Net Banking,February
ORD1026,6/02/2025,Customer 009,Printer,Office Equipment,West,1,11260,0.15,9571,Debit Card,February
ORD1027,8/02/2025,Customer 053,Smartphone,Electronics,South,1,32070,0,32070,Credit Card,February
ORD1028,9/02/2025,Customer 044,Keyboard,Accessories,North,3,1940,0,5820,Debit Card,February
ORD1029,10/02/2025,Customer 024,Keyboard,Accessories,North,6,1940,0.1,10476,Cash,February
ORD1030,12/02/2025,Customer 074,Laptop,Electronics,Central,7,60380,0.2,338128,Net Banking,February
ORD1031,13/02/2025,Customer 030,Mouse,Accessories,East,5,930,0.15,3952.5,Net Banking,February
ORD1032,15/02/2025,Customer 059,Smartphone,Electronics,East,2,30220,0.05,57418,Net Banking,February
ORD1033,16/02/2025,Customer 014,Laptop,Electronics,South,7,67140,0.15,399483,Debit Card,February
ORD1034,18/02/2025,Customer 009,Webcam,Accessories,West,2,4840,0,9680,Cash,February
ORD1035,19/02/2025,Customer 040,Webcam,Accessories,East,3,4640,0.2,11136,Credit Card,February
ORD1036,21/02/2025,Customer 066,Printer,Office Equipment,Central,2,12650,0.05,24035,Credit Card,February
ORD1037,22/02/2025,Customer 025,Tablet,Electronics,South,1,23290,0.1,20961,Debit Card,February
ORD1038,24/02/2025,Customer 073,Laptop,Electronics,South,5,68520,0.15,291210,Net Banking,February
ORD1039,25/02/2025,Customer 022,Mouse,Accessories,Central,4,890,0.1,3204,UPI,February
ORD1040,27/02/2025,Customer 004,Headphones,Accessories,West,2,3340,0.05,6346,Debit Card,February
ORD1041,28/02/2025,Customer 026,Laptop,Electronics,Central,7,63930,0.05,425134.5,Debit Card,February
ORD1042,1/03/2025,Customer 058,Headphones,Accessories,West,1,3720,0.15,3162,Cash,March
ORD1043,3/03/2025,Customer 029,Laptop,Electronics,Central,4,61320,0,245280,Credit Card,March
ORD1044,4/03/2025,Customer 037,Smartwatch,Wearables,Central,5,7010,0.2,28040,Debit Card,March
ORD1045,6/03/2025,Customer 075,Smartphone,Electronics,North,4,28720,0.1,103392,Debit Card,March
ORD1046,7/03/2025,Customer 070,Mouse,Accessories,South,1,910,0,910,Net Banking,March
ORD1047,9/03/2025,Customer 018,Tablet,Electronics,Central,6,23280,0.1,125712,Net Banking,March
ORD1048,10/03/2025,Customer 042,Keyboard,Accessories,Central,6,1910,0.05,10887,UPI,March
ORD1049,12/03/2025,Customer 041,Keyboard,Accessories,East,4,1720,0.1,6192,Cash,March
ORD1050,13/03/2025,Customer 038,Smartphone,Electronics,South,3,31960,0.1,86292,UPI,March
ORD1051,15/03/2025,Customer 034,Webcam,Accessories,East,7,4570,0,31990,Net Banking,March
ORD1052,16/03/2025,Customer 017,Monitor,Electronics,South,7,13660,0.05,90839,Credit Card,March
ORD1053,18/03/2025,Customer 037,Webcam,Accessories,East,4,4650,0.15,15810,Net Banking,March
ORD1054,19/03/2025,Customer 025,Smartwatch,Wearables,Central,2,6980,0,13960,Cash,March
ORD1055,20/03/2025,Customer 076,Keyboard,Accessories,Central,2,1760,0.05,3344,Net Banking,March
ORD1056,22/03/2025,Customer 027,Smartwatch,Wearables,North,7,7230,0.05,48079.5,Cash,March
ORD1057,23/03/2025,Customer 057,Laptop,Electronics,East,7,62390,0.05,414893.5,Cash,March
ORD1058,25/03/2025,Customer 031,Smartphone,Electronics,West,6,29190,0.05,166383,Cash,March
