Order ID,Order Date,Customer,Product,Category,Region,Quantity,Unit Price,Discount,Sales,Payment Method
ORD1001,00:00.0,Customer 055,Tablet,Electronics,East,7,21080,0.05,140182,UPI
ORD1002,05:03.6,Customer 048,Webcam,Accessories,South,5,4630,0.05,21992.5,UPI
ORD1003,10:07.2,Customer 007,Monitor,Electronics,East,5,14540,0.1,65430,UPI
ORD1004,15:10.8,Customer 074,Keyboard,Accessories,South,7,1720,0.05,11438,Credit Card
ORD1005,20:14.5,Customer 007,Smartphone,Electronics,South,1,29410,0.05,27939.5,Cash
ORD1006,25:18.1,Customer 033,Smartphone,Electronics,North,3,30160,0.1,81432,Credit Card
ORD1007,30:21.7,Customer 023,Laptop,Electronics,East,2,64960,0.05,123424,Cash
ORD1008,35:25.3,Customer 019,Smartwatch,Wearables,East,1,6880,0.05,6536,Cash
ORD1009,40:28.9,Customer 019,Mouse,Accessories,Central,2,870,0.05,1653,Debit Card
ORD1010,45:32.5,Customer 036,Monitor,Electronics,Central,7,13100,0.05,87115,Debit Card
ORD1011,50:36.1,Customer 029,Laptop,Electronics,North,6,60360,0,362160,Cash
ORD1012,55:39.8,Customer 060,Webcam,Accessories,North,2,4830,0.15,8211,Cash
ORD1013,00:43.4,Customer 002,Printer,Office Equipment,West,3,12670,0.1,34209,Credit Card
ORD1014,05:47.0,Customer 001,Smartphone,Electronics,Central,6,29300,0,175800,Credit Card
ORD1015,10:50.6,Customer 047,Smartphone,Electronics,South,2,32190,0.05,61161,Debit Card
ORD1016,15:54.2,Customer 069,Smartphone,Electronics,East,7,30850,0,215950,UPI
ORD1017,20:57.8,Customer 020,Tablet,Electronics,North,6,21940,0.15,111894,Cash
ORD1018,26:01.4,Customer 011,Keyboard,Accessories,East,7,1800,0,12600,Credit Card
ORD1019,31:05.1,Customer 002,Headphones,Accessories,East,2,3270,0,6540,Debit Card
ORD1020,36:08.7,Customer 067,Tablet,Electronics,West,7,20560,0.05,136724,Credit Card
ORD1021,41:12.3,Customer 012,Mouse,Accessories,Central,3,910,0.05,2593.5,Cash
ORD1022,46:15.9,Customer 020,Smartphone,Electronics,North,2,30260,0.15,51442,Cash
ORD1023,51:19.5,Customer 005,Tablet,Electronics,East,2,20990,0,41980,Net Banking
ORD1024,56:23.1,Customer 037,Tablet,Electronics,North,2,23570,0.1,42426,UPI
ORD1025,01:26.7,Customer 038,Headphones,Accessories,South,1,3660,0,3660,Net Banking
ORD1026,06:30.4,Customer 009,Printer,Office Equipment,West,1,11260,0.15,9571,Debit Card
ORD1027,11:34.0,Customer 053,Smartphone,Electronics,South,1,32070,0,32070,Credit Card
ORD1028,16:37.6,Customer 044,Keyboard,Accessories,North,3,1940,0,5820,Debit Card
ORD1029,21:41.2,Customer 024,Keyboard,Accessories,North,6,1940,0.1,10476,Cash
ORD1030,26:44.8,Customer 074,Laptop,Electronics,Central,7,60380,0.2,338128,Net Banking
ORD1031,31:48.4,Customer 030,Mouse,Accessories,East,5,930,0.15,3952.5,Net Banking
ORD1032,36:52.0,Customer 059,Smartphone,Electronics,East,2,30220,0.05,57418,Net Banking
ORD1033,41:55.7,Customer 014,Laptop,Electronics,South,7,67140,0.15,399483,Debit Card
ORD1034,46:59.3,Customer 009,Webcam,Accessories,West,2,4840,0,9680,Cash
ORD1035,52:02.9,Customer 040,Webcam,Accessories,East,3,4640,0.2,11136,Credit Card
ORD1036,57:06.5,Customer 066,Printer,Office Equipment,Central,2,12650,0.05,24035,Credit Card
ORD1037,02:10.1,Customer 025,Tablet,Electronics,South,1,23290,0.1,20961,Debit Card
ORD1038,07:13.7,Customer 073,Laptop,Electronics,South,5,68520,0.15,291210,Net Banking
ORD1039,12:17.3,Customer 022,Mouse,Accessories,Central,4,890,0.1,3204,UPI
ORD1040,17:21.0,Customer 004,Headphones,Accessories,West,2,3340,0.05,6346,Debit Card
ORD1041,22:24.6,Customer 026,Laptop,Electronics,Central,7,63930,0.05,425134.5,Debit Card
ORD1042,27:28.2,Customer 058,Headphones,Accessories,West,1,3720,0.15,3162,Cash
ORD1043,32:31.8,Customer 029,Laptop,Electronics,Central,4,61320,0,245280,Credit Card
ORD1044,37:35.4,Customer 037,Smartwatch,Wearables,Central,5,7010,0.2,28040,Debit Card
ORD1045,42:39.0,Customer 075,Smartphone,Electronics,North,4,28720,0.1,103392,Debit Card
ORD1046,47:42.7,Customer 070,Mouse,Accessories,South,1,910,0,910,Net Banking
ORD1047,52:46.3,Customer 018,Tablet,Electronics,Central,6,23280,0.1,125712,Net Banking
ORD1048,57:49.9,Customer 042,Keyboard,Accessories,Central,6,1910,0.05,10887,UPI
ORD1049,02:53.5,Customer 041,Keyboard,Accessories,East,4,1720,0.1,6192,Cash
ORD1050,07:57.1,Customer 038,Smartphone,Electronics,South,3,31960,0.1,86292,UPI
ORD1051,13:00.7,Customer 034,Webcam,Accessories,East,7,4570,0,31990,Net Banking
ORD1052,18:04.3,Customer 017,Monitor,Electronics,South,7,13660,0.05,90839,Credit Card
